Train 48, loss: 0.796780, train acc: 0.935911, train avg acc: 0.903379, train iou: 0.820675
Test 48, loss: 0.859246, test acc: 0.889478, test avg acc: 0.722680, test iou: 0.682171
Train 49, loss: 0.793972, train acc: 0.938398, train avg acc: 0.907028, train iou: 0.825818
Test 49, loss: 0.814571, test acc: 0.920141, test avg acc: 0.881047, test iou: 0.789257
Train 50, loss: 0.795936, train acc: 0.936736, train avg acc: 0.905224, train iou: 0.822664
Test 50, loss: 0.840678, test acc: 0.901556, test avg acc: 0.831723, test iou: 0.742905
Train 51, loss: 0.794723, train acc: 0.937445, train avg acc: 0.906317, train iou: 0.822234
Test 51, loss: 0.858929, test acc: 0.887535, test avg acc: 0.827381, test iou: 0.734281
Train 52, loss: 0.795212, train acc: 0.937467, train avg acc: 0.906087, train iou: 0.822662
Test 52, loss: 0.821200, test acc: 0.915132, test avg acc: 0.824365, test iou: 0.762317
Train 53, loss: 0.792357, train acc: 0.939471, train avg acc: 0.908678, train iou: 0.826432
Test 53, loss: 0.832366, test acc: 0.908033, test avg acc: 0.830212, test iou: 0.759268
Train 54, loss: 0.792606, train acc: 0.939460, train avg acc: 0.907967, train iou: 0.826931
Test 54, loss: 0.883595, test acc: 0.866511, test avg acc: 0.803613, test iou: 0.687135
Train 55, loss: 0.795933, train acc: 0.936263, train avg acc: 0.903975, train iou: 0.819843
Test 55, loss: 0.825559, test acc: 0.910811, test avg acc: 0.880394, test iou: 0.768337
Train 56, loss: 0.792044, train acc: 0.939941, train avg acc: 0.909362, train iou: 0.828466
Test 56, loss: 0.828641, test acc: 0.911433, test avg acc: 0.839574, test iou: 0.764548
Train 57, loss: 0.790664, train acc: 0.940990, train avg acc: 0.910865, train iou: 0.831114
Test 57, loss: 0.859406, test acc: 0.884466, test avg acc: 0.832242, test iou: 0.719047
Train 58, loss: 0.790684, train acc: 0.940840, train avg acc: 0.909503, train iou: 0.830693
Test 58, loss: 0.826846, test acc: 0.909788, test avg acc: 0.897482, test iou: 0.767652
Train 59, loss: 0.790384, train acc: 0.941494, train avg acc: 0.912454, train iou: 0.833255
Test 59, loss: 0.863244, test acc: 0.879228, test avg acc: 0.746393, test iou: 0.685383
Train 60, loss: 0.790168, train acc: 0.941406, train avg acc: 0.910500, train iou: 0.832469
Test 60, loss: 0.847840, test acc: 0.897643, test avg acc: 0.862547, test iou: 0.756186
Train 61, loss: 0.790272, train acc: 0.941452, train avg acc: 0.911849, train iou: 0.833099
Test 61, loss: 0.823285, test acc: 0.912307, test avg acc: 0.899118, test iou: 0.778516
Train 62, loss: 0.789628, train acc: 0.941835, train avg acc: 0.911178, train iou: 0.832107
Test 62, loss: 0.895481, test acc: 0.856655, test avg acc: 0.797683, test iou: 0.665557
Train 63, loss: 0.789446, train acc: 0.942009, train avg acc: 0.910330, train iou: 0.832157
Test 63, loss: 0.849344, test acc: 0.893357, test avg acc: 0.845257, test iou: 0.726915
Train 64, loss: 0.790244, train acc: 0.941204, train avg acc: 0.911074, train iou: 0.831810
Test 64, loss: 0.833086, test acc: 0.905391, test avg acc: 0.804883, test iou: 0.746296
Train 65, loss: 0.787605, train acc: 0.943637, train avg acc: 0.913937, train iou: 0.838835
Test 65, loss: 0.830472, test acc: 0.907610, test avg acc: 0.838978, test iou: 0.751856
Train 66, loss: 0.789669, train acc: 0.942143, train avg acc: 0.912022, train iou: 0.834103
Test 66, loss: 0.848276, test acc: 0.892668, test avg acc: 0.758596, test iou: 0.709956
Train 67, loss: 0.788479, train acc: 0.942785, train avg acc: 0.912013, train iou: 0.836695
Test 67, loss: 0.841374, test acc: 0.902344, test avg acc: 0.859067, test iou: 0.760413
Train 68, loss: 0.787866, train acc: 0.943403, train avg acc: 0.914016, train iou: 0.837259
Test 68, loss: 0.833861, test acc: 0.907245, test avg acc: 0.826122, test iou: 0.734493
Train 69, loss: 0.787289, train acc: 0.943704, train avg acc: 0.914381, train iou: 0.836006
Test 69, loss: 0.862859, test acc: 0.884803, test avg acc: 0.910307, test iou: 0.730019
Train 70, loss: 0.787865, train acc: 0.943301, train avg acc: 0.913385, train iou: 0.835821
Test 70, loss: 0.834908, test acc: 0.904609, test avg acc: 0.870960, test iou: 0.760503
Train 71, loss: 0.788376, train acc: 0.942796, train avg acc: 0.913310, train iou: 0.833540
Test 71, loss: 0.824362, test acc: 0.912032, test avg acc: 0.893647, test iou: 0.773764
